name,price,store,url,image
"Tranches Végétales Haricots Rouges FLEURY MICHON (19 €/kg)","2.29 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-haricots-rouges-fleury-michon-3302740100796,
"Tranches Végétales Lentilles Corail FLEURY MICHON (17 €/kg)","3.19 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-lentilles-corail-fleury-michon-3302740102868,
"Tranches végétales saveur piment NURISHH (16 €/kg)","1.95 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-saveur-piment-nurishh-3073781178838,
"Fromage Raclette Alternative 100% Végétale VIOLIFE (17 €/kg)","3.49 €",Carrefour,https://www.carrefour.fr/p/fromage-raclette-alternative-100-vegetale-violife-5202390031861,
"Pastrami au Poivre Tranches Fines FLEURY MICHON (35 €/kg)","3.59 €",Carrefour,https://www.carrefour.fr/p/pastrami-au-poivre-tranches-fines-fleury-michon-3095758097010,
"Substitut d'oeuf végétarien ALNATURA","0,99 €",Carrefour,https://www.carrefour.fr/p/substitut-d-oeuf-vegetarien-alnatura-0000040045252,https://media.carrefour.fr/medias/1a47b767dbf3464697a92905932f274c/p_200x200/00000040045252_A1N1_s01.jpeg
"Sans Saucisson Vegan - “SinSalchichón” - 110g","4,90 €",OfficialVeganShop,https://www.officialveganshop.com/sinsalchichon-rollito-vegano-12591.html,https://www.officialveganshop.com/11150-large_default/sinsalchichon-rollito-vegano.jpg
"Jambon Végétal Nature - 120g","2,70 €",OfficialVeganShop,https://www.officialveganshop.com/jambon-vegetal-nature-la-vie-14159.html,https://www.officialveganshop.com/22210-large_default/jambon-vegetal-nature-la-vie.jpg
"Tranches Végétales Sans Jambon Cru Vegan - 90g","3,75 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-jambon-cru-valsoia-vegan-14128.html,https://www.officialveganshop.com/19584-large_default/tranches-jambon-cru-valsoia-vegan.jpg
"Bacon végétal Fumé - 120g","3,80 €",OfficialVeganShop,https://www.officialveganshop.com/bacon-vegetal-la-vie-fume-12959.html,https://www.officialveganshop.com/18760-large_default/bacon-vegetal-la-vie-fume.jpg
"Jambon Végétal Fumé - 120g","2,89 €",OfficialVeganShop,https://www.officialveganshop.com/jambon-vegetal-fume-la-vie-14160.html,https://www.officialveganshop.com/22209-large_default/jambon-vegetal-fume-la-vie.jpg
"Tranches Végétales Sans Speck Vegan - 90g","3,75 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-speck-valsoia-vegan-14129.html,https://www.officialveganshop.com/20772-large_default/tranches-speck-valsoia-vegan.jpg
"Tranches Végétales Fondantes Vegan - Goût Nature - 200g","6,20 €",OfficialVeganShop,https://www.officialveganshop.com/new-roots-raclette-vegan-nature-13246.html,https://www.officialveganshop.com/12771-large_default/new-roots-raclette-vegan-nature.jpg
"Jambon Végétal façon Chiffonnade - 90g","3,80 €",OfficialVeganShop,https://www.officialveganshop.com/jambon-vegetal-chiffonnade-la-vie-14991.html,https://www.officialveganshop.com/18582-large_default/jambon-vegetal-chiffonnade-la-vie.jpg
"Tranches Végétales Sans Bresaola - 90g","3,75 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-bresaola-valsoia-vegan-14236.html,https://www.officialveganshop.com/19269-large_default/tranches-bresaola-valsoia-vegan.jpg
"Fumé en tranches - 200g","3,45 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-fume-violife-200g-10701.html,https://www.officialveganshop.com/5575-large_default/tranches-fume-violife-200g.jpg
"Végé tranches fumées Bio - 100g","2,64 €",OfficialVeganShop,https://www.officialveganshop.com/vege-tranches-fumees-wheaty-100g-8927.html,https://www.officialveganshop.com/19593-large_default/vege-tranches-fumees-wheaty-100g.jpg
"Tranches Fondantes Vegan - Goût Poivre Noir - 200g","6,20 €",OfficialVeganShop,https://www.officialveganshop.com/new-roots-raclette-vegan-poivre-noir-13197.html,https://www.officialveganshop.com/16397-large_default/new-roots-raclette-vegan-poivre-noir.jpg
"Tranches Fondantes Végétales - 200g","5,27 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-vegetales-fondantes-richesmonts-15566.html,https://www.officialveganshop.com/22917-large_default/tranches-vegetales-fondantes-richesmonts.jpg
"Sans Saucisse Sèche Fumée Vegan - “SinFuet Fumé” - 110g","4,90 €",OfficialVeganShop,https://www.officialveganshop.com/sin-fuet-fume-rollito-vegano-12312.html,https://www.officialveganshop.com/10246-large_default/sin-fuet-fume-rollito-vegano.jpg
"Alternative Végétale à Fondre - 500g","12,74 €",OfficialVeganShop,https://www.officialveganshop.com/fondue-vegan-new-roots-11784.html,https://www.officialveganshop.com/23712-large_default/fondue-vegan-new-roots.jpg
"Végé tranches à l'Italienne Bio - 100g","2,76 €",OfficialVeganShop,https://www.officialveganshop.com/vege-tranches-italienne-wheaty-100g-8928.html,https://www.officialveganshop.com/23742-large_default/vege-tranches-italienne-wheaty-100g.jpg"
"Tranches Végétales sans Pepperoni - 100g","2,55 €",OfficialVeganShop,https://www.officialveganshop.com/meatless-pepperoni-plenty-reasons-100g-14454.html,https://www.officialveganshop.com/15990-large_default/meatless-pepperoni-plenty-reasons-100g.jpg
"Tranches Séchées à la Milanaise sans Bresaola - 60g","2,69 €",OfficialVeganShop,https://www.officialveganshop.com/vege-tranches-sechees-italian-style-wheaty-12444.html,https://www.officialveganshop.com/20955-large_default/vege-tranches-sechees-italian-style-wheaty.jpg
"Tranches Végétales sans Salami - 100g","2,55 €",OfficialVeganShop,https://www.officialveganshop.com/meatless-salami-plenty-reasons-100g-14453.html,https://www.officialveganshop.com/15987-large_default/meatless-salami-plenty-reasons-100g.jpg
"Tranches Fondantes Vegan - Goût Piment & Ail - 200g","6,20 €",OfficialVeganShop,https://www.officialveganshop.com/new-roots-raclette-vegan-piment-ail-200g-14231.html,https://www.officialveganshop.com/15159-large_default/new-roots-raclette-vegan-piment-ail-200g.jpg"
